"","Ensembl_ID","Symbol"
"282","MIMAT0000231","hsa-miR-199a-5p"
"283","MIMAT0000232","hsa-miR-199a-3p"
"284","MI0032314","hsa-mir-1843"
"285","MIMAT0039764","hsa-miR-1843"
"286","MI0003123","hsa-mir-488"
"287","MIMAT0002804","hsa-miR-488-5p"
"288","MIMAT0004763","hsa-miR-488-3p"
"289","MI0016763","hsa-mir-4424"
"290","MIMAT0018939","hsa-miR-4424"
"291","MI0039718","hsa-mir-12116"
"292","MIMAT0049010","hsa-miR-12116"
"293","MI0014137","hsa-mir-3121"
"294","MIMAT0014983","hsa-miR-3121-3p"
"295","MIMAT0019199","hsa-miR-3121-5p"
"296","MI0016765","hsa-mir-4426"
"297","MIMAT0018941","hsa-miR-4426"
"298","MI0006425","hsa-mir-1278"
"299","MIMAT0005936","hsa-miR-1278"
"300","MI0017372","hsa-mir-4735"
"301","MIMAT0019860","hsa-miR-4735-5p"
"302","MIMAT0019861","hsa-miR-4735-3p"
"303","MI0000270","hsa-mir-181b-1"
"304","MIMAT0000257","hsa-miR-181b-5p"
"305","MIMAT0022692","hsa-miR-181b-3p"
"306","MI0000289","hsa-mir-181a-1"
"307","MIMAT0000256","hsa-miR-181a-5p"
"308","MIMAT0000270","hsa-miR-181a-3p"
"309","MI0018170","hsa-mir-5191"
"310","MIMAT0021122","hsa-miR-5191"
"311","MI0006321","hsa-mir-1231"
"312","MIMAT0005586","hsa-miR-1231"
"313","MI0022584","hsa-mir-6739"
"314","MIMAT0027379","hsa-miR-6739-5p"
"315","MIMAT0027380","hsa-miR-6739-3p"
"316","MI0022585","hsa-mir-6740"
"317","MIMAT0027381","hsa-miR-6740-5p"
"318","MIMAT0027382","hsa-miR-6740-3p"
"319","MI0000810","hsa-mir-135b"
"320","MIMAT0000758","hsa-miR-135b-5p"
"321","MIMAT0004698","hsa-miR-135b-3p"
"322","MI0022706","hsa-mir-6769b"
"323","MIMAT0027620","hsa-miR-6769b-5p"
"324","MIMAT0027621","hsa-miR-6769b-3p"
"325","MI0000735","hsa-mir-29c"
"326","MIMAT0004673","hsa-miR-29c-5p"
"327","MIMAT0000681","hsa-miR-29c-3p"
"328","MI0000107","hsa-mir-29b-2"
"329","MIMAT0000100","hsa-miR-29b-3p"
"330","MIMAT0004515","hsa-miR-29b-2-5p"
"331","MI0000285","hsa-mir-205"
"332","MIMAT0000266","hsa-miR-205-5p"
"333","MIMAT0009197","hsa-miR-205-3p"
"334","MI0015859","hsa-mir-4260"
"335","MIMAT0016881","hsa-miR-4260"
"336","MI0014138","hsa-mir-3122"
"337","MIMAT0014984","hsa-miR-3122"
"338","MI0000291","hsa-mir-215"
"339","MIMAT0000272","hsa-miR-215-5p"
"340","MIMAT0026476","hsa-miR-215-3p"
"341","MI0000488","hsa-mir-194-1"
"342","MIMAT0000460","hsa-miR-194-5p"
"343","MI0006442","hsa-mir-664a"
"344","MIMAT0005948","hsa-miR-664a-5p"
"345","MIMAT0005949","hsa-miR-664a-3p"
"346","MI0003839","hsa-mir-320b-2"
"347","MIMAT0005792_1","hsa-miR-320b"
"348","MI0017380","hsa-mir-4742"
"349","MIMAT0019872","hsa-miR-4742-5p"
"350","MIMAT0019873","hsa-miR-4742-3p"
"351","MI0022586","hsa-mir-6741"
"352","MIMAT0027383","hsa-miR-6741-5p"
"353","MIMAT0027384","hsa-miR-6741-3p"
"354","MI0017876","hsa-mir-5008"
"355","MIMAT0021039","hsa-miR-5008-5p"
"356","MIMAT0021040","hsa-miR-5008-3p"
"357","MI0016011","hsa-mir-3620"
"358","MIMAT0018001","hsa-miR-3620-3p"
"359","MIMAT0022967","hsa-miR-3620-5p"
"360","MI0022587","hsa-mir-6742"
"361","MIMAT0027385","hsa-miR-6742-5p"
"362","MIMAT0027386","hsa-miR-6742-3p"
"363","MI0017296","hsa-mir-4666a"
"364","MIMAT0019741","hsa-miR-4666a-5p"
"365","MIMAT0019742","hsa-miR-4666a-3p"
"366","MI0006275","hsa-mir-1182"
"367","MIMAT0005827","hsa-miR-1182"
"368","MI0016766","hsa-mir-4427"
"369","MIMAT0018942","hsa-miR-4427"
"370","MI0017302","hsa-mir-4671"
"371","MIMAT0019752","hsa-miR-4671-5p"
"372","MIMAT0019753","hsa-miR-4671-3p"
"373","MI0017392","hsa-mir-4753"
"374","MIMAT0019890","hsa-miR-4753-5p"
"375","MIMAT0019891","hsa-miR-4753-3p"
"376","MI0007258","hsa-mir-1537"
"377","MIMAT0007399","hsa-miR-1537-3p"
"378","MIMAT0026765","hsa-miR-1537-5p"
"379","MI0016767","hsa-mir-4428"
"380","MIMAT0018943","hsa-miR-4428"
"381","MI0014139","hsa-mir-3123"
"382","MIMAT0014985","hsa-miR-3123"
"383","MI0017308","hsa-mir-4677"
"384","MIMAT0019760","hsa-miR-4677-5p"
"385","MIMAT0019761","hsa-miR-4677-3p"
"386","MI0016422","hsa-mir-3916"
"387","MIMAT0018190","hsa-miR-3916"
"388","MI0014140","hsa-mir-3124"
"389","MIMAT0014986","hsa-miR-3124-5p"
"390","MIMAT0019200","hsa-miR-3124-3p"
"391","MI0019306","hsa-mir-5699"
"392","MIMAT0022492","hsa-miR-5699-3p"
"393","MIMAT0027103","hsa-miR-5699-5p"
"394","MI0020349","hsa-mir-6072"
"395","MIMAT0023697","hsa-miR-6072"
"396","MI0020355","hsa-mir-6078"
"397","MIMAT0023703","hsa-miR-6078"
"398","MI0014183","hsa-mir-3155a"
"399","MIMAT0015029","hsa-miR-3155a"
"400","MI0016839","hsa-mir-3155b"
"401","MIMAT0019012","hsa-miR-3155b"
"402","MI0016840","hsa-mir-548ak"
"403","MIMAT0019013","hsa-miR-548ak"
"404","MI0016841","hsa-mir-4480"
"405","MIMAT0019014","hsa-miR-4480"
"406","MI0016842","hsa-mir-4481"
"407","MIMAT0019015","hsa-miR-4481"
"408","MI0010637","hsa-mir-548q"
