"","Ensembl_ID","Symbol","Biotype"
"857","ENSG00000117713","ARID1A","protein_coding"
"858","ENSG00000060642","PIGV","protein_coding"
"860","ENSG00000204160","ZDHHC18","protein_coding"
"861","ENSG00000175793","SFN","protein_coding"
"863","ENSG00000142751","GPN2","protein_coding"
"864","ENSG00000198746","GPATCH3","protein_coding"
"865","ENSG00000090273","NUDC","protein_coding"
"866","ENSG00000131910","NR0B2","protein_coding"
"867","ENSG00000175707","KDF1","protein_coding"
"871","ENSG00000253368","TRNP1","protein_coding"
"872","ENSG00000158246","FAM46B","protein_coding"
"873","ENSG00000090020","SLC9A1","protein_coding"
"879","ENSG00000142784","WDTC1","protein_coding"
"882","ENSG00000186501","TMEM222","protein_coding"
"885","ENSG00000142765","SYTL1","protein_coding"
"886","ENSG00000142733","MAP3K6","protein_coding"
"887","ENSG00000142748","FCN3","protein_coding"
"888","ENSG00000174950","CD164L2","protein_coding"
"890","ENSG00000181773","GPR3","protein_coding"
"891","ENSG00000158195","WASF2","protein_coding"
"894","ENSG00000126705","AHDC1","protein_coding"
"895","ENSG00000000938","FGR","protein_coding"
"898","ENSG00000126709","IFI6","protein_coding"
"903","ENSG00000009780","FAM76A","protein_coding"
"906","ENSG00000117758","STX12","protein_coding"
"910","ENSG00000117751","PPP1R8","protein_coding"
"912","ENSG00000130775","THEMIS2","protein_coding"
"913","ENSG00000117748","RPA2","protein_coding"
"914","ENSG00000130768","SMPDL3B","protein_coding"
"916","ENSG00000158156","XKR8","protein_coding"
"917","ENSG00000158161","EYA3","protein_coding"
"924","ENSG00000169403","PTAFR","protein_coding"
"925","ENSG00000126698","DNAJC8","protein_coding"
"926","ENSG00000130770","ATPIF1","protein_coding"
"929","ENSG00000130766","SESN2","protein_coding"
"930","ENSG00000130772","MED18","protein_coding"
"931","ENSG00000204138","PHACTR4","protein_coding"
"935","ENSG00000180198","RCC1","protein_coding"
"941","ENSG00000180098","TRNAU1AP","protein_coding"
"948","ENSG00000120656","TAF12","protein_coding"
"949","ENSG00000188060","RAB42","protein_coding"
"953","ENSG00000162419","GMEB1","protein_coding"
"955","ENSG00000198492","YTHDF2","protein_coding"
"956","ENSG00000116329","OPRD1","protein_coding"
"959","ENSG00000159023","EPB41","protein_coding"
"963","ENSG00000253304","TMEM200B","protein_coding"
"965","ENSG00000116350","SRSF4","protein_coding"
"967","ENSG00000116353","MECR","protein_coding"
"969","ENSG00000060656","PTPRU","protein_coding"
"980","ENSG00000162510","MATN1","protein_coding"
"982","ENSG00000162511","LAPTM5","protein_coding"
"988","ENSG00000162512","SDC3","protein_coding"
"990","ENSG00000134644","PUM1","protein_coding"
"995","ENSG00000084628","NKAIN1","protein_coding"
"996","ENSG00000060688","SNRNP40","protein_coding"
"998","ENSG00000121766","ZCCHC17","protein_coding"
"1000","ENSG00000121769","FABP3","protein_coding"
"1001","ENSG00000168528","SERINC2","protein_coding"
"1008","ENSG00000142910","TINAGL1","protein_coding"
