"","Ensembl_ID","Symbol","Biotype"
"9509","ENSG00000207815","MIR563","miRNA"
"9525","ENSG00000283885","MIR3714","miRNA"
"9542","ENSG00000271898","MIR4791","miRNA"
"9551","ENSG00000266745","MIR3135A","miRNA"
"9587","ENSG00000265028","MIR4792","miRNA"
"9599","ENSG00000283971","MIR4442","miRNA"
"9651","ENSG00000265376","MIR466","miRNA"
"9674","ENSG00000276147","MIR548AY","miRNA"
"9715","ENSG00000207625","MIR128-2","miRNA"
"9752","ENSG00000199075","MIR26A1","miRNA"
"9782","ENSG00000284158","MIR6822","miRNA"
"9884","ENSG00000207954","MIR138-1","miRNA"
"9910","ENSG00000284498","MIR564","miRNA"
"9991","ENSG00000221585","MIR1226","miRNA"
"10002","ENSG00000265483","MIR4443","miRNA"
"10010","ENSG00000252466","MIR2115","miRNA"
"10021","ENSG00000278799","MIR6823","miRNA"
"10024","ENSG00000284251","MIR711","miRNA"
"10028","ENSG00000284364","MIR6824","miRNA"
"10030","ENSG00000284575","MIR4793","miRNA"
"10047","ENSG00000199032","MIR425","miRNA"
"10049","ENSG00000207605","MIR191","miRNA"
"10055","ENSG00000284488","MIR6890","miRNA"
"10067","ENSG00000264633","MIR4271","miRNA"
"10093","ENSG00000283726","MIR5193","miRNA"
"10107","ENSG00000207922","MIR566","miRNA"
"10111","ENSG00000275334","MIR5787","miRNA"
"10116","ENSG00000283848","MIR6872","miRNA"
"10141","ENSG00000272543","MIR4787","miRNA"
"10185","ENSG00000199150","MIRLET7G","miRNA"
"10188","ENSG00000207926","MIR135A1","miRNA"
"10223","ENSG00000275789","MIR8064","miRNA"
"10262","ENSG00000264013","MIR3938","miRNA"
"10323","ENSG00000281426","MIR548BB","miRNA"
"10390","ENSG00000283298","MIR4272","miRNA"
"10405","ENSG00000265355","MIR3136","miRNA"
"10426","ENSG00000221264","MIR1284","miRNA"
"10477","ENSG00000266780","MIR4444-2","miRNA"
"10499","ENSG00000283894","MIR1324","miRNA"
"10506","ENSG00000266396","MIR4273","miRNA"
"10522","ENSG00000265193","MIR3923","miRNA"
"10547","ENSG00000264084","MIR5688","miRNA"
"10560","ENSG00000264119","MIR4795","miRNA"
"10607","ENSG00000278103","MIR8060","miRNA"
"10670","ENSG00000264897","MIR3921","miRNA"
"10718","ENSG00000265328","MIR548AB","miRNA"
"10784","ENSG00000265956","MIR4445","miRNA"
"10810","ENSG00000207940","MIR567","miRNA"
"10841","ENSG00000275670","MIR8076","miRNA"
"10845","ENSG00000265253","MIR4446","miRNA"
"10869","ENSG00000284134","MIR568","miRNA"
"10873","ENSG00000264623","MIR4796","miRNA"
"10889","ENSG00000265433","MIR4447","miRNA"
"10940","ENSG00000284121","MIR198","miRNA"
"10953","ENSG00000264477","MIR5682","miRNA"
"10990","ENSG00000284421","MIR7110","miRNA"
"11004","ENSG00000266383","MIR5002","miRNA"
"11006","ENSG00000276656","MIR6083","miRNA"
"11010","ENSG00000265981","MIR544B","miRNA"
"11022","ENSG00000264986","MIR5092","miRNA"
"11043","ENSG00000221737","MIR548I1","miRNA"
"11092","ENSG00000275067","MIR6825","miRNA"
"11093","ENSG00000276083","MIR7976","miRNA"
"11141","ENSG00000278658","MIR6826","miRNA"
"11205","ENSG00000265859","MIR5704","miRNA"
"11247","ENSG00000277723","MIR6827","miRNA"
"11250","ENSG00000284561","MIR4788","miRNA"
"11517","ENSG00000264330","MIR5186","miRNA"
"11641","ENSG00000263634","MIR3919","miRNA"
"11656","ENSG00000207779","MIR15B","miRNA"
"11657","ENSG00000198987","MIR16-2","miRNA"
"11688","ENSG00000221251","MIR1263","miRNA"
"11728","ENSG00000207717","MIR551B","miRNA"
"11772","ENSG00000283474","MIR6828","miRNA"
"11785","ENSG00000207963","MIR569","miRNA"
"11826","ENSG00000264974","MIR4789","miRNA"
"11838","ENSG00000283333","MIR7977","miRNA"
"11970","ENSG00000263932","MIR4448","miRNA"
"11990","ENSG00000221120","MIR1224","miRNA"
"12019","ENSG00000264614","MIR5588","miRNA"
"12028","ENSG00000265470","MIR548AQ","miRNA"
"12058","ENSG00000283958","MIR1248","miRNA"
"12094","ENSG00000207651","MIR28","miRNA"
"12101","ENSG00000216058","MIR944","miRNA"
"12184","ENSG00000265333","MIR3137","miRNA"
"12205","ENSG00000207650","MIR570","miRNA"
"12212","ENSG00000276489","MIR6829","miRNA"
"12268","ENSG00000265850","MIR4797","miRNA"
"12281","ENSG00000284146","MIR922","miRNA"
"12316","ENSG00000207642","MIR571","miRNA"
"12374","ENSG00000284587","MIR943","miRNA"
"12383","ENSG00000284276","MIR4800","miRNA"
"12461","ENSG00000263631","MIR378D1","miRNA"
"12490","ENSG00000264658","MIR4798","miRNA"
"12492","ENSG00000266690","MIR4274","miRNA"
"12497","ENSG00000207807","MIR95","miRNA"
"12564","ENSG00000221275","MIR548I2","miRNA"
"12580","ENSG00000264931","MIR3138","miRNA"
"12598","ENSG00000207716","MIR572","miRNA"
"12619","ENSG00000266240","MIR5091","miRNA"
"12688","ENSG00000207732","MIR218-1","miRNA"
"12693","ENSG00000283281","MIR7978","miRNA"
"12714","ENSG00000207697","MIR573","miRNA"
"12766","ENSG00000283275","MIR4275","miRNA"
"12806","ENSG00000283207","MIR1255B1","miRNA"
"12811","ENSG00000264319","MIR4801","miRNA"
"12839","ENSG00000207944","MIR574","miRNA"
"12849","ENSG00000264621","MIR5591","miRNA"
"12884","ENSG00000263642","MIR4802","miRNA"
"12966","ENSG00000277388","MIR8053","miRNA"
"13023","ENSG00000264585","MIR4449","miRNA"
"13142","ENSG00000265829","MIR548AG1","miRNA"
"13183","ENSG00000221563","MIR1269A","miRNA"
"13395","ENSG00000263445","MIR4450","miRNA"
"13396","ENSG00000283682","MIR548AH","miRNA"
"13433","ENSG00000266270","MIR5096","miRNA"
"13481","ENSG00000207746","MIR575","miRNA"
"13521","ENSG00000266421","MIR4451","miRNA"
"13525","ENSG00000266515","MIR4452","miRNA"
"13540","ENSG00000263981","MIR5705","miRNA"
"13659","ENSG00000265213","MIR3684","miRNA"
"13693","ENSG00000273882","MIR8066","miRNA"
"13694","ENSG00000221265","MIR1255A","miRNA"
"13793","ENSG00000207988","MIR576","miRNA"
"13825","ENSG00000215961","MIR297","miRNA"
"13853","ENSG00000199169","MIR367","miRNA"
"13854","ENSG00000199145","MIR302D","miRNA"
"13855","ENSG00000207927","MIR302A","miRNA"
"13856","ENSG00000199102","MIR302C","miRNA"
"13857","ENSG00000284463","MIR302B","miRNA"
"13871","ENSG00000283193","MIR1243","miRNA"
"13872","ENSG00000275810","MIR8082","miRNA"
"13882","ENSG00000207931","MIR577","miRNA"
"13894","ENSG00000284253","MIR1973","miRNA"
"14005","ENSG00000283550","MIR2054","miRNA"
"14187","ENSG00000265623","MIR3139","miRNA"
"14241","ENSG00000278438","MIR7849","miRNA"
"14249","ENSG00000221369","MIR548G","miRNA"
"14261","ENSG00000264274","MIR4799","miRNA"
"14322","ENSG00000264678","MIR3140","miRNA"
"14324","ENSG00000283792","MIR4453","miRNA"
"14440","ENSG00000264105","MIR3688-1","miRNA"
"14441","ENSG00000283379","MIR3688-2","miRNA"
"14455","ENSG00000283468","MIR4454","miRNA"
"14501","ENSG00000207559","MIR578","miRNA"
"14559","ENSG00000278502","MIR6082","miRNA"
"14568","ENSG00000221296","MIR548T","miRNA"
"14590","ENSG00000265846","MIR4276","miRNA"
"14648","ENSG00000221227","MIR1305","miRNA"
"14701","ENSG00000266698","MIR3945","miRNA"
"14704","ENSG00000263458","MIR4455","miRNA"
"14829","ENSG00000264233","MIR4456","miRNA"
"14846","ENSG00000263834","MIR4635","miRNA"
"14851","ENSG00000263670","MIR4457","miRNA"
"14858","ENSG00000273742","MIR6075","miRNA"
"14865","ENSG00000263746","MIR4277","miRNA"
"14934","ENSG00000283420","MIR4278","miRNA"
"14966","ENSG00000284000","MIR4458","miRNA"
"14983","ENSG00000266415","MIR4636","miRNA"
"15018","ENSG00000277073","MIR6131","miRNA"
"15058","ENSG00000264792","MIR4637","miRNA"
"15070","ENSG00000216077","MIR887","miRNA"
"15260","ENSG00000266243","MIR4279","miRNA"
"15270","ENSG00000207956","MIR579","miRNA"
"15328","ENSG00000207756","MIR580","miRNA"
"15374","ENSG00000265304","MIR3650","miRNA"
"15521","ENSG00000207627","MIR581","miRNA"
"15523","ENSG00000265421","MIR4459","miRNA"
"15544","ENSG00000198983","MIR449A","miRNA"
"15545","ENSG00000207728","MIR449B","miRNA"
"15546","ENSG00000251856","MIR449C","miRNA"
"15555","ENSG00000265135","MIR5687","miRNA"
"15610","ENSG00000265699","MIR548AE2","miRNA"
"15620","ENSG00000202601","MIR582","miRNA"
"15800","ENSG00000264099","MIR4803","miRNA"
"15815","ENSG00000263593","MIR4804","miRNA"
"16015","ENSG00000283359","MIR3977","miRNA"
"16061","ENSG00000284078","hsa-mir-3607","miRNA"
"16068","ENSG00000265919","MIR4280","miRNA"
"16088","ENSG00000284447","MIR9-2","miRNA"
"16098","ENSG00000264342","MIR3660","miRNA"
"16138","ENSG00000284336","MIR2277","miRNA"
"16177","ENSG00000207578","MIR583","miRNA"
"16255","ENSG00000221263","MIR548P","miRNA"
"16323","ENSG00000221436","MIR548F3","miRNA"
"16435","ENSG00000283498","MIR1244-2","miRNA"
"16444","ENSG00000264536","MIR5706","miRNA"
"16562","ENSG00000264563","MIR4633","miRNA"
"16563","ENSG00000265691","MIR4460","miRNA"
"16602","ENSG00000283678","MIR6830","miRNA"
"16606","ENSG00000263597","MIR3936","miRNA"
"16648","ENSG00000221287","MIR1289-2","miRNA"
"16662","ENSG00000266751","MIR3661","miRNA"
"16696","ENSG00000263963","MIR4461","miRNA"
"16717","ENSG00000265924","MIR5692C1","miRNA"
"16746","ENSG00000216009","MIR874","miRNA"
"16843","ENSG00000283717","MIR6831","miRNA"
"16853","ENSG00000284325","MIR3655","miRNA"
"16988","ENSG00000266478","MIR5197","miRNA"
"17062","ENSG00000207714","MIR584","miRNA"
"17076","ENSG00000284182","MIR143","miRNA"
"17077","ENSG00000276365","MIR145","miRNA"
"17086","ENSG00000199047","MIR378A","miRNA"
"17137","ENSG00000276622","MIR6499","miRNA"
"17164","ENSG00000221430","MIR1294","miRNA"
"17171","ENSG00000264760","MIR3141","miRNA"
"17172","ENSG00000221552","MIR1303","miRNA"
"17179","ENSG00000263361","MIR378H","miRNA"
"17270","ENSG00000265237","MIR3142","miRNA"
"17271","ENSG00000283733","MIR146A","miRNA"
"17331","ENSG00000199035","MIR103A1","miRNA"
"17332","ENSG00000283612","MIR103B1","miRNA"
"17337","ENSG00000207739","MIR218-2","miRNA"
"17342","ENSG00000207619","MIR585","miRNA"
"17348","ENSG00000263831","MIR378E","miRNA"
"17374","ENSG00000264249","MIR3912","miRNA"
"17390","ENSG00000265160","MIR5003","miRNA"
"17417","ENSG00000274994","MIR8056","miRNA"
"17444","ENSG00000266890","MIR4634","miRNA"
"17479","ENSG00000221464","MIR1271","miRNA"
"17491","ENSG00000266329","MIR4281","miRNA"
"17599","ENSG00000221394","MIR1229","miRNA"
"17610","ENSG00000198995","MIR340","miRNA"
"17644","ENSG00000277912","MIR8089","miRNA"
"17656","ENSG00000264732","MIR4638","miRNA"
"17697","ENSG00000275859","MIR6720","miRNA"
"17713","ENSG00000266750","MIR4645","miRNA"
"17781","ENSG00000265083","MIR3691","miRNA"
"17794","ENSG00000263572","MIR7853","miRNA"
"17795","ENSG00000283616","MIR5683","miRNA"
"17851","ENSG00000263705","MIR5689","miRNA"
"17939","ENSG00000263712","MIR4639","miRNA"
